Close;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data;AESB3;AALR3;ALPA4;ALUP11;ABEV3;AMER3;ANIM3;ARZZ3;AZEV4;BLUT4;BRAP3;BRAP4;AGRO3;BRKM5;BRFS3;CCRO3;CLSC4;CMIG4;CESP6;COCE5;COGN3;CGAS5;CSMG3;CPLE6;CSAN3;CPFE3;CRPG5;CARD3;CVCB3;CYRE3;DASA3;DXCO3;DEXP3;PNVL3;DIRR3;ECOR3;ELET3;EMBR3;ENAT3;ENBR3;ENGI11;ENEV3;EGIE3;EQTL3;ETER3;EUCA4;EVEN3;EZTC3;FHER3;FESA4;FLRY3;FRAS3;GFSA3;GGBR4;GOAU4;GRND3;NTCO3;GUAR3;HBOR3;HYPE3;PARD3;MEAL3;ROMI3;MYPK3;RANI3;JBSS3;JHSF3;KEPL3;KLBN11;LIGT3;RENT3;LCAM3;LOGN3;AMAR3;LREN3;LUPA3;MDIA3;MGLU3;POMO4;MRFG3;LEVE3;MILS3;BEEF3;MOVI3;MRVE3;ODPV3;OIBR3;OFSA3;PCAR3;PETR4;PRIO3;PTBL3;POSI3;PFRM3;QUAL3;RADL3;RAPT4;RAIL3;SBSP3;SAPR4;STBP3;SMTO3;SHUL4;SEER3;CSNA3;SQIA3;SLCE3;SGPS3;TAEE11;TASA4;TECN3;TCSA3;TGMA3;TELB4;VIVT3;LAND3;TIMS3;SHOW3;TOTS3;TRPL4;TRIS3;TPIS3;TUPY3;UGPA3;UCAS3;UNIP6;USIM5;VALE3;VLID3;VIIA3;VULC3;WEGE3;PORT3;YDUQ3;
01/06/1995;  ;  ; R$ 0,11 ;  ; R$ 0,11 ;  ;  ;  ; R$ 0,35 ; R$ 31.658,05 ;  ;  ;  ; R$ 1,33 ;  ;  ; R$ 3,19 ; R$ 0,26 ;  ; R$ 0,09 ;  ;  ;  ;  ;  ;  ; R$ 0,41 ;  ;  ;  ;  ;  ;  ; R$ 0,06 ;  ;  ; R$ 3,68 ; R$ 0,28 ;  ;  ;#VALOR!;  ;  ;  ; R$ 0,21 ; R$ 1,12 ;  ;  ;  ; R$ 0,06 ;  ; R$ 0,13 ;  ; R$ 0,08 ; R$ 0,08 ;  ;  ; R$ 0,10 ;  ;  ;  ;  ; R$ 0,22 ; R$ 1,22 ; R$ 0,06 ;  ;  ;  ;  ; R$ 36,24 ;  ;  ;  ;  ; R$ 0,11 ;  ;  ;  ; R$ 0,04 ;  ; R$ 0,22 ;  ;  ;  ;  ;  ; R$ 14,23 ;  ;  ; R$ 0,35 ;  ; R$ 0,74 ;  ;  ;  ;  ; R$ 0,15 ;  ;  ;  ;  ;  ; R$ 0,08 ;  ; R$ 0,08 ;  ;  ;  ;  ; R$ 0,25 ;  ;  ;  ;  ; R$ 1,15 ;  ;  ;  ;  ;  ;  ;  ; R$ 3,01 ;  ;  ; R$ 0,20 ; R$ 0,54 ; R$ 0,66 ;  ;  ;  ; R$ 0,03 ;  ;  ;.
01/06/1996;;; R$ 0,06 ;; R$ 0,18 ;;;; R$ 0,32 ; R$ 11.306,45 ;;;; R$ 1,35 ;;; R$ 6,58 ; R$ 0,44 ;; R$ 0,31 ;;;;;;; R$ 0,39 ;;;;;;; R$ 0,17 ;;; R$ 5,26 ; R$ 0,94 ;;;;;;; R$ 0,23 ; R$ 1,06 ;;;; R$ 0,06 ;; R$ 0,15 ;; R$ 0,13 ; R$ 0,14 ;;; R$ 0,27 ;;;;; R$ 0,11 ; R$ 0,54 ; R$ 0,08 ;;;;; R$ 43,27 ;;;;; R$ 0,20 ;;;; R$ 0,05 ;; R$ 0,11 ;;;;;; R$ 27,02 ;; R$ 4,77 ; R$ 0,73 ;;;;;; R$ 0,02 ; R$ 0,13 ;; R$ 1,18 ;;;; R$ 0,05 ;; R$ 0,13 ;;;;; R$ 0,25 ;;;;; R$ 1,84 ;;;;;;;; R$ 1,05 ;;; R$ 0,14 ; R$ 0,78 ; R$ 0,58 ;; R$ 1,47 ;; R$ 0,03 ;;;
01/06/1997;;; R$ 0,04 ;; R$ 0,21 ;;;; R$ 0,23 ; R$ 4.522,58 ;;;; R$ 1,28 ; R$ 1,23 ;; R$ 9,55 ; R$ 0,63 ;; R$ 0,54 ;; R$ 1,16 ;; R$ 0,51 ;;; R$ 0,42 ;;;;;;; R$ 0,26 ;;; R$ 8,00 ; R$ 2,22 ;;;;;;; R$ 0,27 ; R$ 2,32 ;;;; R$ 0,05 ;; R$ 0,26 ;; R$ 0,22 ; R$ 0,22 ;;; R$ 0,28 ;;;;; R$ 0,28 ; R$ 0,77 ; R$ 0,06 ;;;;; R$ 58,80 ;;;;; R$ 0,14 ;;;; R$ 0,05 ;; R$ 0,07 ;;;;;; R$ 22,64 ;;; R$ 1,18 ;;;;;; R$ 0,02 ; R$ 0,09 ;; R$ 3,32 ;;;; R$ 0,03 ;; R$ 0,15 ;;;;; R$ 0,29 ;;;;; R$ 2,08 ;;;;;;;; R$ 1,83 ;;; R$ 0,07 ; R$ 0,52 ; R$ 0,47 ;; R$ 0,95 ;; R$ 0,04 ;;;
01/06/1998;;; R$ 0,06 ;; R$ 0,16 ;;;; R$ 0,23 ; R$ 3.618,06 ;;;; R$ 0,62 ; R$ 0,87 ;; R$ 3,75 ; R$ 0,42 ;; R$ 0,44 ;; R$ 0,82 ;; R$ 0,30 ;;; R$ 0,97 ;;;;;;; R$ 0,11 ;;; R$ 3,39 ; R$ 0,51 ;;;;; R$ 0,31 ;; R$ 0,29 ; R$ 3,18 ;;;; R$ 0,05 ;; R$ 0,30 ;; R$ 0,16 ; R$ 0,16 ;;; R$ 0,17 ;;;;; R$ 0,20 ; R$ 0,38 ; R$ 0,01 ;;;;; R$ 21,21 ;;;;; R$ 0,13 ;;;; R$ 0,05 ;; R$ 0,07 ;;;;;; R$ 7,10 ;;; R$ 0,64 ;; R$ 0,46 ;;;; R$ 0,01 ; R$ 0,05 ;; R$ 1,28 ;;;; R$ 0,03 ;; R$ 0,15 ;;;;; R$ 0,42 ;;;; R$ 9,92 ; R$ 1,19 ;; R$ 0,63 ;;;;;; R$ 1,44 ;;; R$ 0,09 ; R$ 0,27 ; R$ 0,28 ;; R$ 0,85 ;; R$ 0,04 ;;;
01/06/1999;;; R$ 0,12 ;; R$ 0,27 ;;;; R$ 0,16 ; R$ 2.713,55 ;;;; R$ 3,21 ; R$ 2,17 ;; R$ 5,99 ; R$ 0,79 ;; R$ 0,84 ;; R$ 0,75 ;; R$ 0,63 ;;; R$ 1,00 ;;;;;;; R$ 0,21 ;;; R$ 6,52 ; R$ 4,79 ;;;;; R$ 0,35 ;; R$ 0,56 ; R$ 2,30 ;;;; R$ 0,22 ;; R$ 0,17 ;; R$ 0,91 ; R$ 0,74 ;;; R$ 0,42 ;;;;; R$ 0,12 ; R$ 0,53 ; R$ 0,07 ;;;;; R$ 30,77 ;;;;; R$ 0,23 ;;;; R$ 0,10 ;; R$ 0,09 ;;;;;; R$ 32,71 ;;; R$ 2,20 ;; R$ 0,36 ;;;; R$ 0,01 ; R$ 0,12 ;; R$ 3,23 ;;;; R$ 0,04 ;; R$ 0,43 ;;;;; R$ 1,09 ;;;; R$ 2,83 ; R$ 2,30 ;; R$ 2,42 ;;; R$ 0,23 ;;; R$ 2,09 ;;; R$ 0,50 ; R$ 1,04 ; R$ 1,20 ;; R$ 0,86 ;; R$ 0,06 ;;;
01/06/2000;;; R$ 0,15 ;; R$ 0,78 ;;;; R$ 0,20 ; R$ 8.592,90 ; R$ 1,00 ; R$ 1,14 ;; R$ 3,55 ; R$ 1,71 ;; R$ 4,05 ; R$ 0,57 ;; R$ 1,08 ;; R$ 1,75 ;; R$ 0,59 ;;; R$ 1,14 ;;;;;; R$ 1,44 ; R$ 0,15 ;;; R$ 6,08 ; R$ 6,92 ;;;;; R$ 0,57 ;; R$ 1,09 ; R$ 2,05 ;;;; R$ 0,23 ;; R$ 0,13 ;; R$ 0,69 ; R$ 0,60 ;;; R$ 0,38 ;;;;; R$ 0,19 ; R$ 0,36 ; R$ 0,06 ;;;;; R$ 34,63 ;;;;;;;;; R$ 0,11 ;; R$ 0,18 ;;;;;; R$ 44,22 ;; R$ 10,54 ; R$ 2,23 ;; R$ 0,38 ;;;; R$ 0,02 ; R$ 0,13 ;; R$ 2,99 ; R$ 0,14 ;;; R$ 0,04 ;; R$ 0,38 ;;;;; R$ 0,91 ;;;; R$ 1,42 ; R$ 1,89 ;; R$ 2,48 ;;; R$ 0,27 ;;; R$ 2,67 ;;; R$ 0,76 ; R$ 0,97 ; R$ 1,33 ;; R$ 1,95 ;; R$ 0,09 ;;;
01/06/2001;;; R$ 0,13 ;; R$ 0,72 ;;;; R$ 0,08 ; R$ 7.236,13 ; R$ 0,71 ; R$ 0,78 ;; R$ 3,02 ; R$ 1,78 ;; R$ 3,22 ; R$ 0,68 ;; R$ 1,58 ;; R$ 1,41 ;; R$ 0,66 ;;; R$ 1,51 ;;;;;;; R$ 0,18 ;;; R$ 5,81 ; R$ 7,42 ;;;;; R$ 0,83 ;; R$ 0,80 ; R$ 1,02 ;;;; R$ 0,30 ;; R$ 0,16 ;; R$ 0,88 ; R$ 0,66 ;;; R$ 0,37 ;;;;; R$ 0,28 ; R$ 0,29 ; R$ 0,08 ;;; R$ 28,39 ;; R$ 18,94 ;;;;;;;;; R$ 0,16 ;;;;;;;; R$ 32,14 ;; R$ 16,38 ; R$ 2,66 ;; R$ 0,13 ;;;;; R$ 0,19 ;; R$ 2,27 ; R$ 0,17 ;;; R$ 0,04 ;; R$ 0,46 ;;;;; R$ 2,00 ;;;; R$ 1,42 ; R$ 2,80 ;; R$ 1,90 ;;; R$ 0,28 ;;; R$ 4,17 ;;; R$ 0,93 ; R$ 0,76 ; R$ 1,75 ;;;; R$ 0,16 ;;;
01/06/2002;;; R$ 0,16 ;; R$ 0,82 ;;;; R$ 0,06 ; R$ 6.783,87 ; R$ 0,51 ; R$ 0,57 ;; R$ 1,49 ; R$ 1,87 ; R$ 0,20 ; R$ 3,78 ; R$ 0,59 ;; R$ 1,24 ;; R$ 0,83 ;; R$ 0,40 ;;; R$ 1,30 ;;;;;; R$ 1,44 ; R$ 0,21 ;;; R$ 4,44 ; R$ 9,15 ;;;;; R$ 0,78 ;; R$ 1,36 ; R$ 0,88 ;;;; R$ 0,73 ;; R$ 0,16 ;; R$ 1,53 ; R$ 1,34 ;;; R$ 0,56 ;;;;; R$ 0,47 ; R$ 0,25 ; R$ 0,05 ;;; R$ 32,99 ;; R$ 8,48 ;;;;; R$ 0,08 ;;;; R$ 0,24 ;;;;;;;; R$ 36,79 ;; R$ 19,92 ; R$ 2,57 ;; R$ 0,13 ;;;; R$ 0,02 ; R$ 0,39 ;; R$ 1,88 ; R$ 0,15 ;;; R$ 0,04 ;; R$ 0,67 ;;;;; R$ 5,58 ;;;; R$ 1,42 ; R$ 2,99 ;; R$ 1,26 ;;; R$ 0,29 ;;; R$ 2,45 ; R$ 1,04 ;; R$ 1,15 ; R$ 0,79 ; R$ 3,57 ;;;; R$ 0,21 ;;;
01/06/2003;;; R$ 0,32 ;; R$ 1,14 ;;;; R$ 0,08 ; R$ 7.053,97 ; R$ 0,98 ; R$ 1,24 ;; R$ 9,03 ; R$ 2,61 ; R$ 0,73 ; R$ 5,93 ; R$ 1,22 ;; R$ 2,25 ;; R$ 2,93 ;; R$ 0,54 ;;; R$ 3,09 ;;;;;; R$ 1,44 ; R$ 0,44 ;;; R$ 9,36 ; R$ 14,04 ;;;;; R$ 2,00 ;; R$ 1,63 ; R$ 0,40 ;;;; R$ 1,48 ;; R$ 0,61 ;; R$ 3,85 ; R$ 3,51 ;;; R$ 0,88 ;;;;; R$ 1,18 ; R$ 0,81 ; R$ 0,18 ;;; R$ 86,53 ;; R$ 14,46 ;;;;;;;;; R$ 0,29 ;;;;;;;; R$ 54,28 ;;; R$ 4,58 ;; R$ 0,42 ;;;; R$ 0,03 ; R$ 0,91 ;; R$ 3,62 ; R$ 0,21 ;;; R$ 0,07 ;; R$ 2,45 ;;;;; R$ 4,26 ;;;; R$ 2,83 ; R$ 6,14 ;; R$ 2,03 ;;; R$ 0,81 ;;; R$ 1,50 ; R$ 1,79 ;; R$ 2,68 ; R$ 4,39 ; R$ 6,18 ;; R$ 1,16 ;; R$ 0,47 ;;;
01/06/2004;;; R$ 0,63 ;; R$ 2,48 ;;;; R$ 0,12 ; R$ 13.565,33 ; R$ 1,66 ; R$ 1,72 ;; R$ 18,11 ; R$ 5,54 ; R$ 1,74 ; R$ 8,27 ; R$ 1,61 ;; R$ 2,29 ;; R$ 4,39 ;; R$ 0,47 ;; R$ 3,44 ; R$ 6,18 ;;;; R$ 5,38 ;; R$ 1,73 ; R$ 0,51 ;;; R$ 7,50 ; R$ 12,08 ;;;;; R$ 2,66 ;; R$ 2,60 ; R$ 0,53 ;;;; R$ 1,99 ;;;; R$ 6,41 ; R$ 7,81 ; R$ 1,36 ; R$ 4,48 ; R$ 1,72 ;;;;; R$ 2,11 ; R$ 3,26 ; R$ 0,40 ;;; R$ 329,94 ;; R$ 11,34 ;;;;;;;;; R$ 0,44 ;; R$ 4,56 ;;;;;; R$ 50,61 ;;; R$ 6,18 ;; R$ 1,32 ;;;; R$ 0,04 ; R$ 2,49 ;; R$ 3,74 ; R$ 0,26 ;;; R$ 0,21 ;; R$ 3,40 ;;;;; R$ 4,34 ;;;; R$ 5,67 ; R$ 9,08 ;; R$ 2,68 ;;; R$ 0,89 ;;; R$ 2,43 ; R$ 1,87 ;; R$ 6,09 ; R$ 7,26 ; R$ 8,55 ;; R$ 1,71 ; R$ 0,75 ; R$ 0,75 ;;;
01/06/2005;;; R$ 1,39 ;; R$ 1,70 ;;;; R$ 0,12 ; R$ 16.821,01 ; R$ 2,37 ; R$ 2,44 ;; R$ 10,45 ; R$ 9,43 ; R$ 2,34 ; R$ 11,33 ; R$ 2,50 ;; R$ 4,34 ;; R$ 4,67 ;; R$ 0,75 ; R$ 3,55 ; R$ 5,66 ; R$ 5,98 ;;; R$ 8,79 ; R$ 9,80 ;; R$ 1,23 ; R$ 0,51 ;;; R$ 7,47 ; R$ 14,25 ;; R$ 3,87 ;;; R$ 4,53 ;; R$ 2,73 ; R$ 0,77 ;;;; R$ 1,54 ;;;; R$ 8,54 ; R$ 9,24 ; R$ 1,02 ; R$ 6,18 ; R$ 6,03 ;;;;; R$ 2,93 ; R$ 3,52 ; R$ 0,31 ;;; R$ 296,53 ;; R$ 6,19 ; R$ 2,02 ;;;; R$ 1,58 ;;;; R$ 0,40 ;; R$ 4,56 ;;;;;; R$ 67,79 ;; R$ 23,52 ; R$ 9,81 ;; R$ 1,32 ;;;; R$ 0,04 ; R$ 2,68 ;; R$ 4,07 ; R$ 0,25 ;;; R$ 0,30 ;; R$ 3,96 ;;;;; R$ 4,82 ;;;; R$ 4,96 ; R$ 8,74 ;; R$ 4,42 ;;; R$ 1,72 ;;; R$ 2,24 ;;; R$ 3,89 ; R$ 8,30 ; R$ 11,18 ;;; R$ 0,89 ; R$ 0,74 ;;;
01/06/2006;;; R$ 2,55 ;; R$ 2,20 ;;;; R$ 0,14 ; R$ 11.980,90 ; R$ 4,19 ; R$ 4,34 ; R$ 6,49 ; R$ 8,67 ; R$ 12,94 ; R$ 3,82 ; R$ 14,47 ; R$ 3,06 ; R$ 11,54 ; R$ 8,08 ;; R$ 7,20 ; R$ 3,76 ; R$ 1,07 ; R$ 6,99 ; R$ 6,57 ; R$ 5,05 ; R$ 6,82 ;; R$ 11,33 ; R$ 10,29 ;; R$ 1,31 ; R$ 0,85 ;;; R$ 10,10 ; R$ 17,83 ;; R$ 4,82 ;;; R$ 5,89 ;; R$ 6,23 ; R$ 1,44 ;;;; R$ 1,63 ;; R$ 1,53 ; R$ 90,94 ; R$ 11,84 ; R$ 13,24 ; R$ 1,09 ; R$ 9,35 ; R$ 9,49 ;;;;; R$ 6,98 ; R$ 4,35 ; R$ 0,27 ;;; R$ 204,14 ;; R$ 9,28 ; R$ 4,61 ;;;; R$ 3,33 ; R$ 5.306,82 ; R$ 6,29 ;; R$ 0,86 ;;;;;;; R$ 1,45 ; R$ 110,90 ;; R$ 26,46 ; R$ 13,82 ;; R$ 1,52 ; R$ 17,86 ; R$ 23,38 ;; R$ 0,28 ; R$ 3,43 ;; R$ 7,91 ; R$ 0,36 ;;; R$ 0,54 ;; R$ 5,73 ;;;; R$ 1,55 ; R$ 14,16 ;;;; R$ 4,25 ; R$ 12,94 ; R$ 570,03 ; R$ 9,15 ;; R$ 2,36 ; R$ 2,05 ;;; R$ 4,90 ;;; R$ 3,57 ; R$ 12,85 ; R$ 15,26 ; R$ 8,25 ; R$ 2,89 ; R$ 1,86 ; R$ 1,36 ;;;
